sample_id	filename	file_type	size	file_ome	open_access
MOHD_EA100001	MOHD_EA100001_R1.fastq.gz	Sequenced reads	1428076625	ATAC_SEQ	False
MOHD_EA100001	MOHD_EA100001_filtered_GRCh38_v0.bam	Aligned reads	2802466160	ATAC_SEQ	False
MOHD_EA100001	MOHD_EA100001_R2.fastq.gz	Sequenced reads	1471026298	ATAC_SEQ	False
MOHD_EA100001	MOHD_EA100001_signal-pvalue_GRCh38_v0.bigWig	p-value signal	495882076	ATAC_SEQ	True
MOHD_EA100001	MOHD_EA100001_unfiltered_GRCh38_v0.bam	Aligned reads	4595615006	ATAC_SEQ	False
MOHD_EA100001	MOHD_EA100001_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1604321	ATAC_SEQ	True
MOHD_EA100001	MOHD_EA100001_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	905390	ATAC_SEQ	True
MOHD_EA100001	MOHD_EA100001_signal-FC_GRCh38_v0.bigWig	Fold change signal	641382481	ATAC_SEQ	True
MOHD_EA100002	MOHD_EA100002_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	1205862	ATAC_SEQ	True
MOHD_EA100002	MOHD_EA100002_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	2799697	ATAC_SEQ	True
MOHD_EA100002	MOHD_EA100002_signal-FC_GRCh38_v0.bigWig	Fold change signal	847396208	ATAC_SEQ	True
MOHD_EA100002	MOHD_EA100002_R2.fastq.gz	Sequenced reads	1868310773	ATAC_SEQ	False
MOHD_EA100002	MOHD_EA100002_unfiltered_GRCh38_v0.bam	Aligned reads	6152540651	ATAC_SEQ	False
MOHD_EA100002	MOHD_EA100002_signal-pvalue_GRCh38_v0.bigWig	p-value signal	631190323	ATAC_SEQ	True
MOHD_EA100002	MOHD_EA100002_filtered_GRCh38_v0.bam	Aligned reads	3478923509	ATAC_SEQ	False
MOHD_EA100002	MOHD_EA100002_R1.fastq.gz	Sequenced reads	1889785610	ATAC_SEQ	False
MOHD_EA100003	MOHD_EA100003_signal-pvalue_GRCh38_v0.bigWig	p-value signal	560411443	ATAC_SEQ	True
MOHD_EA100003	MOHD_EA100003_R1.fastq.gz	Sequenced reads	1599875317	ATAC_SEQ	False
MOHD_EA100003	MOHD_EA100003_unfiltered_GRCh38_v0.bam	Aligned reads	5239860101	ATAC_SEQ	False
MOHD_EA100003	MOHD_EA100003_R2.fastq.gz	Sequenced reads	1642824990	ATAC_SEQ	False
MOHD_EA100003	MOHD_EA100003_filtered_GRCh38_v0.bam	Aligned reads	3124588707	ATAC_SEQ	False
MOHD_EA100003	MOHD_EA100003_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1153433	ATAC_SEQ	True
MOHD_EA100003	MOHD_EA100003_signal-FC_GRCh38_v0.bigWig	Fold change signal	741584404	ATAC_SEQ	True
MOHD_EA100003	MOHD_EA100003_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	510095	ATAC_SEQ	True
MOHD_EA100004	MOHD_EA100004_signal-pvalue_GRCh38_v0.bigWig	p-value signal	606286643	ATAC_SEQ	True
MOHD_EA100004	MOHD_EA100004_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	2023751	ATAC_SEQ	True
MOHD_EA100004	MOHD_EA100004_R2.fastq.gz	Sequenced reads	1782411427	ATAC_SEQ	False
MOHD_EA100004	MOHD_EA100004_filtered_GRCh38_v0.bam	Aligned reads	3307124817	ATAC_SEQ	False
MOHD_EA100004	MOHD_EA100004_R1.fastq.gz	Sequenced reads	1707249500	ATAC_SEQ	False
MOHD_EA100004	MOHD_EA100004_signal-FC_GRCh38_v0.bigWig	Fold change signal	804383621	ATAC_SEQ	True
